Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
sensor.archer_d2_packets_sent_2,Archer_D2 Packets sent,unavailable,packets,N/A,total_increasing,N/A,2025-09-01T11:16:36.018232+00:00,2025-09-01T11:16:36.018232+00:00,sensor,N/A,False,N/A
sensor.archer_d2_external_ip_2,Archer_D2 External IP,102.33.34.191,N/A,N/A,N/A,N/A,2025-09-01T09:39:36.389723+00:00,2025-09-01T09:39:36.389723+00:00,sensor,N/A,False,N/A
sensor.archer_d2_uptime_2,Archer_D2 Uptime,unavailable,s,duration,N/A,N/A,2025-09-01T11:16:36.018795+00:00,2025-09-01T11:16:36.018795+00:00,sensor,N/A,False,N/A
sensor.archer_d2_wan_status_2,Archer_D2 WAN status,Connected,N/A,N/A,N/A,N/A,2025-09-01T09:39:36.390815+00:00,2025-09-01T09:39:36.390815+00:00,sensor,N/A,False,N/A
sensor.archer_d2_number_of_port_mapping_entries_ipv4,Archer_D2 Number of port mapping entries (IPv4),6,N/A,N/A,N/A,N/A,2025-09-01T10:02:05.996043+00:00,2025-09-01T10:02:05.996043+00:00,sensor,N/A,False,N/A
sensor.archer_d2_download_speed_2,Archer_D2 Download speed,unavailable,KiB/s,data_rate,measurement,N/A,2025-09-01T11:16:36.019406+00:00,2025-09-01T11:16:36.019406+00:00,sensor,N/A,False,N/A
sensor.archer_d2_upload_speed_2,Archer_D2 Upload speed,unavailable,KiB/s,data_rate,measurement,N/A,2025-09-01T11:16:36.019796+00:00,2025-09-01T11:16:36.019796+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packet_download_speed_2,Archer_D2 Packet download speed,unavailable,packets/s,N/A,measurement,N/A,2025-09-01T11:16:36.020097+00:00,2025-09-01T11:16:36.020097+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packet_upload_speed_2,Archer_D2 Packet upload speed,unavailable,packets/s,N/A,measurement,N/A,2025-09-01T11:16:36.020390+00:00,2025-09-01T11:16:36.020390+00:00,sensor,N/A,False,N/A
sensor.archer_d2_data_received,Archer_D2 Data received,0,B,data_size,total_increasing,N/A,2025-09-01T11:14:02.755503+00:00,2025-09-01T11:14:02.755503+00:00,sensor,N/A,False,N/A
sensor.archer_d2_data_sent,Archer_D2 Data sent,629951074,B,data_size,total_increasing,N/A,2025-09-01T11:16:38.138404+00:00,2025-09-01T11:16:38.138404+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packets_received,Archer_D2 Packets received,0,packets,N/A,total_increasing,N/A,2025-09-01T11:14:02.757210+00:00,2025-09-01T11:14:02.757210+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packets_sent,Archer_D2 Packets sent,3652669,packets,N/A,total_increasing,N/A,2025-09-01T11:16:38.139708+00:00,2025-09-01T11:16:38.139708+00:00,sensor,N/A,False,N/A
sensor.archer_d2_external_ip,Archer_D2 External IP,0.0.0.0,N/A,N/A,N/A,N/A,2025-09-01T09:39:42.692479+00:00,2025-09-01T09:39:42.692479+00:00,sensor,N/A,False,N/A
sensor.archer_d2_uptime,Archer_D2 Uptime,377408,s,duration,N/A,N/A,2025-09-01T11:16:38.140659+00:00,2025-09-01T11:16:38.140659+00:00,sensor,N/A,False,N/A
sensor.archer_d2_wan_status,Archer_D2 WAN status,Connected,N/A,N/A,N/A,N/A,2025-09-01T09:39:42.694398+00:00,2025-09-01T09:39:42.694398+00:00,sensor,N/A,False,N/A
sensor.archer_d2_download_speed,Archer_D2 Download speed,0.0,KiB/s,data_rate,measurement,N/A,2025-09-01T11:14:54.717581+00:00,2025-09-01T11:14:54.717581+00:00,sensor,N/A,False,N/A
sensor.archer_d2_upload_speed,Archer_D2 Upload speed,2.35959122735848,KiB/s,data_rate,measurement,N/A,2025-09-01T11:16:38.142110+00:00,2025-09-01T11:16:38.142110+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packet_download_speed,Archer_D2 Packet download speed,0.0,packets/s,N/A,measurement,N/A,2025-09-01T11:14:54.719044+00:00,2025-09-01T11:14:54.719044+00:00,sensor,N/A,False,N/A
sensor.archer_d2_packet_upload_speed,Archer_D2 Packet upload speed,10.9814778209889,packets/s,N/A,measurement,N/A,2025-09-01T11:16:38.143152+00:00,2025-09-01T11:16:38.143152+00:00,sensor,N/A,False,N/A
sensor.hp_color_laserjet_mfp_m476nw_uptime,HP Color LaserJet MFP M476nw Uptime,2025-09-01T05:01:05+00:00,N/A,timestamp,N/A,N/A,2025-09-01T09:38:57.023663+00:00,2025-09-01T09:38:57.023663+00:00,sensor,N/A,False,N/A
sensor.hp_color_laserjet_mfp_m476nw_black_cartridge_hp_cf380x,HP Color LaserJet MFP M476nw Black Cartridge HP CF380X,48,%,N/A,measurement,N/A,2025-09-01T09:38:57.024395+00:00,2025-09-01T09:38:57.024395+00:00,sensor,N/A,False,N/A
sensor.hp_color_laserjet_mfp_m476nw_cyan_cartridge_hp_cf381a,HP Color LaserJet MFP M476nw Cyan Cartridge HP CF381A,21,%,N/A,measurement,N/A,2025-09-01T09:38:57.025026+00:00,2025-09-01T09:38:57.025026+00:00,sensor,N/A,False,N/A
sensor.hp_color_laserjet_mfp_m476nw_magenta_cartridge_hp_cf383a,HP Color LaserJet MFP M476nw Magenta Cartridge HP CF383A,3,%,N/A,measurement,N/A,2025-09-01T09:38:57.025627+00:00,2025-09-01T09:38:57.025627+00:00,sensor,N/A,False,N/A
sensor.hp_color_laserjet_mfp_m476nw_yellow_cartridge_hp_cf382a,HP Color LaserJet MFP M476nw Yellow Cartridge HP CF382A,21,%,N/A,measurement,N/A,2025-09-01T09:38:57.026168+00:00,2025-09-01T09:38:57.026168+00:00,sensor,N/A,False,N/A
sensor.jbarkhuizen_automation_code_discussions,jbarkhuizen/Automation-Code Discussions,0,discussions,N/A,measurement,N/A,2025-09-01T09:38:57.592272+00:00,2025-09-01T09:38:57.592272+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_discussions,jbarkhuizen/homeassistant-config-V3 Discussions,unavailable,discussions,N/A,measurement,N/A,2025-09-01T11:08:56.760347+00:00,2025-09-01T11:08:56.760347+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v2_discussions,jbarkhuizen/homeassistant-config-V2 Discussions,0,discussions,N/A,measurement,N/A,2025-09-01T09:38:57.597105+00:00,2025-09-01T09:38:57.597105+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_automation_code_stars,jbarkhuizen/Automation-Code Stars,0,stars,N/A,measurement,N/A,2025-09-01T09:38:57.599076+00:00,2025-09-01T09:38:57.599076+00:00,sensor,Data provided by the GitHub API,False,N/A
sensor.jbarkhuizen_homeassistant_config_v3_stars,jbarkhuizen/homeassistant-config-V3 Stars,unavailable,stars,N/A,measurement,N/A,2025-09-01T11:08:56.761013+00:00,2025-09-01T11:08:56.761013+00:00,sensor,Data provided by the GitHub API,False,N/A
